antecedents,consequents
"frozenset({'butter', 'baking soda', 'milk'})",frozenset({'flour'})
"frozenset({'baking soda', 'milk', 'flour'})",frozenset({'butter'})
"frozenset({'butter', 'baking soda', 'vanilla'})",frozenset({'flour'})
"frozenset({'butter', 'baking soda', 'flour'})",frozenset({'vanilla'})
"frozenset({'butter', 'vanilla', 'flour'})",frozenset({'baking soda'})
"frozenset({'baking soda', 'vanilla', 'flour'})",frozenset({'butter'})
"frozenset({'butter', 'baking soda'})","frozenset({'vanilla', 'flour'})"
"frozenset({'butter', 'vanilla'})","frozenset({'baking soda', 'flour'})"
"frozenset({'baking soda', 'vanilla'})","frozenset({'butter', 'flour'})"
"frozenset({'egg', 'baking soda', 'chocolate'})",frozenset({'flour'})
"frozenset({'egg', 'chocolate', 'flour'})",frozenset({'baking soda'})
"frozenset({'baking soda', 'chocolate', 'flour'})",frozenset({'egg'})
"frozenset({'egg', 'chocolate'})","frozenset({'baking soda', 'flour'})"
"frozenset({'baking soda', 'chocolate'})","frozenset({'egg', 'flour'})"
"frozenset({'chocolate', 'flour'})","frozenset({'egg', 'baking soda'})"
"frozenset({'chocolate', 'baking soda', 'vanilla'})",frozenset({'egg'})
"frozenset({'egg', 'chocolate', 'vanilla'})",frozenset({'baking soda'})
"frozenset({'egg', 'baking soda', 'chocolate'})",frozenset({'vanilla'})
"frozenset({'chocolate', 'vanilla'})","frozenset({'egg', 'baking soda'})"
"frozenset({'baking soda', 'chocolate'})","frozenset({'egg', 'vanilla'})"
"frozenset({'egg', 'chocolate'})","frozenset({'baking soda', 'vanilla'})"
"frozenset({'chocolate', 'baking soda', 'vanilla'})",frozenset({'flour'})
"frozenset({'chocolate', 'vanilla', 'flour'})",frozenset({'baking soda'})
"frozenset({'baking soda', 'chocolate', 'flour'})",frozenset({'vanilla'})
"frozenset({'chocolate', 'vanilla'})","frozenset({'baking soda', 'flour'})"
"frozenset({'baking soda', 'chocolate'})","frozenset({'vanilla', 'flour'})"
"frozenset({'chocolate', 'flour'})","frozenset({'baking soda', 'vanilla'})"
"frozenset({'egg', 'baking soda', 'milk'})",frozenset({'flour'})
"frozenset({'egg', 'milk', 'flour'})",frozenset({'baking soda'})
"frozenset({'baking soda', 'milk', 'flour'})",frozenset({'egg'})
"frozenset({'baking soda', 'milk'})","frozenset({'egg', 'flour'})"
"frozenset({'egg', 'baking soda', 'vanilla'})",frozenset({'flour'})
"frozenset({'egg', 'baking soda', 'flour'})",frozenset({'vanilla'})
"frozenset({'egg', 'vanilla', 'flour'})",frozenset({'baking soda'})
"frozenset({'baking soda', 'vanilla', 'flour'})",frozenset({'egg'})
"frozenset({'egg', 'baking soda'})","frozenset({'vanilla', 'flour'})"
"frozenset({'egg', 'vanilla'})","frozenset({'baking soda', 'flour'})"
"frozenset({'baking soda', 'vanilla'})","frozenset({'egg', 'flour'})"
"frozenset({'baking soda', 'flour'})","frozenset({'egg', 'vanilla'})"
"frozenset({'vanilla', 'flour'})","frozenset({'egg', 'baking soda'})"
"frozenset({'baking soda', 'vanilla', 'milk'})",frozenset({'egg'})
"frozenset({'egg', 'baking soda', 'vanilla'})",frozenset({'milk'})
"frozenset({'egg', 'vanilla', 'milk'})",frozenset({'baking soda'})
"frozenset({'egg', 'baking soda', 'milk'})",frozenset({'vanilla'})
"frozenset({'baking soda', 'vanilla'})","frozenset({'egg', 'milk'})"
"frozenset({'baking soda', 'milk'})","frozenset({'egg', 'vanilla'})"
